date,Account,daily_pnl,num_trades,avg_trade_size,win_rate,long_short_ratio,sentiment_group,losing_day,trader_activity,consistency,next_day_pnl,profitable_next_day
2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,100502.420808,2080,3430.149134615385,0.3903846153846154,1.4129930394431554,Fear,False,Infrequent,Inconsistent,17381.164,1
2025-06-15,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,17381.164,248,6983.216774193548,0.016129032258064516,61.0,,False,Infrequent,Inconsistent,,0
2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,49180.714882,4211,1636.15022559962,0.418665400142484,1.322669608383894,Greed,False,Frequent,Inconsistent,40314.808014,1
2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,40314.808014,9274,1157.8793541082598,0.32003450506793185,1.9497455470737914,Fear,False,Frequent,Inconsistent,16807.35236,1
2025-06-15,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,16807.35236,2120,1056.7010613207547,0.3136792452830189,2.18796992481203,,False,Infrequent,Inconsistent,,0
2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-14505.50575,39,7877.326666666667,0.0,3.875,Neutral,True,Infrequent,Inconsistent,67900.247545,1
2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,67900.247545,283,1684.2025795053005,0.5477031802120141,0.7911392405063291,Greed,False,Infrequent,Inconsistent,19451.742477,1
2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,19451.742477,95,820.6771578947369,0.8842105263157894,0.0,Fear,False,Infrequent,Consistent,,0
2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222,190,3387.3391578947367,0.5526315789473685,0.7924528301886793,Greed,False,Infrequent,Inconsistent,8751.751449,1
2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449,182,3072.9576923076925,0.2692307692307692,2.7142857142857144,Fear,False,Infrequent,Inconsistent,38168.35486,1
2025-06-15,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,38168.35486,191,2484.57057591623,0.39790575916230364,1.513157894736842,,False,Infrequent,Inconsistent,,0
2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,55.01524,9,1862.9299999999998,0.2222222222222222,3.5,Greed,False,Infrequent,Inconsistent,21703.816512999998,1
2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21703.816512999998,525,8441.060742857142,0.3238095238095238,1.3026315789473684,Fear,False,Infrequent,Inconsistent,,0
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,155.50335699999994,1043,11034.799511025887,0.2751677852348993,0.8826714801444043,Greed,False,Infrequent,Inconsistent,2606.8947559999997,1
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2606.8947559999997,3076,7639.724411573472,0.21879063719115735,0.9680102367242482,Greed,False,Frequent,Inconsistent,62586.1816,1
2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,62586.1816,1643,2875.2178940961658,0.20998174071819842,1.6330128205128205,Neutral,False,Infrequent,Inconsistent,1421755.845871,1
2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1421755.845871,1268,2166.171861198738,0.5670347003154574,0.13214285714285715,Greed,False,Infrequent,Inconsistent,553818.000465,1
2025-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,553818.000465,7380,1818.587241192412,0.3910569105691057,0.8908531898539584,Fear,False,Frequent,Inconsistent,102460.17164,1
2025-06-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,102460.17164,323,1989.5179256965946,0.17647058823529413,0.21428571428571427,,False,Infrequent,Inconsistent,,0
2025-02-19,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,22504.555828854896,0.4386109962794543,0.9587044534412955,Fear,False,Frequent,Inconsistent,,0
2025-02-19,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,3210.7751864086836,0.46753185464841907,1.1200600300150074,Fear,False,Frequent,Inconsistent,6.593538,1
2025-06-15,0xbaaaf6571ab7d571043ff1e313a9609a10637864,6.593538,2,7.0200000000000005,1.0,0.0,,False,Infrequent,Consistent,,0
2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,11671.68,267,2725.7805992509366,0.15355805243445692,0.22477064220183487,Greed,False,Infrequent,Inconsistent,325441.97721599997,1
2025-02-19,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,325441.97721599997,2211,8103.972912709181,0.3722297602894618,0.9109766637856526,Fear,False,Infrequent,Inconsistent,-116594.595363,0
2025-06-15,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-116594.595363,163,12832.663680981595,0.006134969325153374,1.2328767123287672,,True,Infrequent,Inconsistent,,0
2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,684215.002602,9883,2693.2837964180917,0.5692603460487706,0.45530849653953764,Greed,False,Frequent,Inconsistent,126967.976166,1
2025-02-19,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,126967.976166,26651,1554.8373344339798,0.3848636073693295,0.8924234893133566,Fear,False,Frequent,Inconsistent,24897.574309,1
2025-06-15,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,24897.574309,3650,1658.11421369863,0.363013698630137,0.9240906694781233,,False,Frequent,Inconsistent,,0
